Name,Value.NAME,Value.SOURCE,Value.DESCRIPTION,Value.WHENTOUSE,Value.CATEGORY,Value.TYPE,Value.MANDATORY,Value.TANDP
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc8"">Writing style</a>",Content Style Guide,Detailed rules on the formatting and style to use on Canada.ca,Detailed rules on the formatting and style to use on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-1"">Capitalization and punctuation</a>",Content Style Guide,"Use these styles for capitalization and punctuation of content in text, links and applications.","Use these styles for capitalization and punctuation of content in text, links and applications.",,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-2"">Underlining, bold and italics</a>",Content Style Guide,"When to use underline, bold and italics on Canada.ca","When to use underline, bold and italics on Canada.ca",,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-3"">Symbols</a>",Content Style Guide,When to use symbols such as &amp; and % on Canada.ca,When to use symbols such as &amp; and % on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-4"">Abbreviations and acronyms</a>",Content Style Guide,Don't use an abbreviation or acronym unless it's better known to the widest audience than its long-form equivalent,Don't use an abbreviation or acronym unless it's better known to the widest audience than its long-form equivalent,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-5"">Contractions</a>",Content Style Guide,Use contractions that people use when they speak.,Use contractions that people use when they speak.,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-6"">Numbers</a>",Content Style Guide,How to write numbers on Canada.ca,How to write numbers on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-7"">Dates</a>",Content Style Guide,How to write dates on Canada.ca,How to write dates on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-8"">Times</a>",Content Style Guide,How to write times on Canada.ca,How to write times on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-9"">Phone numbers</a>",Content Style Guide,How to write phone numbers on Canada.ca,How to write phone numbers on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-10"">Addresses</a>",Content Style Guide,How to write addresses on Canada.ca,How to write addresses on Canada.ca,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp4-11"">Words and expressions in transition</a>",Content Style Guide,Special rules for Words and expressions commonly written in 2 or more different ways (like webpage and web page),Special rules for Words and expressions commonly written in 2 or more different ways (like webpage and web page),,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc9"">Content structure</a>",Content Style Guide,How to organize the structure and layout of content components to help people find what they need quickly,Content Style Guide,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp5-1"">Page titles and headings</a>",Content Style Guide,Write titles and headings that are meaningful and help people scan the page,Write titles and headings that are meaningful and help people scan the page,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp5-2"">Lists</a>",Content Style Guide,How to write lists that help people scan,How to write lists that help people scan,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#wp5-3"">Tables</a>",Content Style Guide,How to design tables to organize data,How to design tables to organize data,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc10"">Images and videos</a>",Content Style Guide,How to use images and videos in your content,How to use images and videos in your content,,,,0
data,"<a href=""https//www.canada.ca/en/treasury-board-secretariat/services/government-communications/canada-content-style-guide.html#toc11"">Links</a>",Content Style Guide,How to use links on Canada.ca,How to use links on Canada.ca,,,,0
